source_row_index,StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,UV1,UV2,UV3,Q1,Q2,SC0,speaker,question_column,question_id,survey_order,response_numeric,response_letter,solution_letter,is_correct
0,4/18/26 4:47,4/18/26 4:51,1,,100,259,1,4/18/26 4:51,R_8DYs5oSKWTNCAXT,,,,,55.7701,12.562,preview,EN,,,,,,1,speaker2,speaker2_ns2_item7,ns2_item7,1,2,B,B,1
4,4/19/26 14:51,4/19/26 14:58,0,2.110.88.253,100,387,1,4/19/26 14:58,R_21AZHkypDwKARzQ,,,,,55.6769,12.5268,anonymous,EN,1,1,1,1,1,24,speaker2,speaker2_ns2_item7,ns2_item7,1,2,B,B,1
4,4/19/26 14:51,4/19/26 14:58,0,2.110.88.253,100,387,1,4/19/26 14:58,R_21AZHkypDwKARzQ,,,,,55.6769,12.5268,anonymous,EN,1,1,1,1,1,24,speaker2,speaker2_ns1_item5,ns1_item5,2,1,A,A,1
4,4/19/26 14:51,4/19/26 14:58,0,2.110.88.253,100,387,1,4/19/26 14:58,R_21AZHkypDwKARzQ,,,,,55.6769,12.5268,anonymous,EN,1,1,1,1,1,24,speaker2,speaker2_ns3_item2,ns3_item2,3,1,A,A,1
4,4/19/26 14:51,4/19/26 14:58,0,2.110.88.253,100,387,1,4/19/26 14:58,R_21AZHkypDwKARzQ,,,,,55.6769,12.5268,anonymous,EN,1,1,1,1,1,24,speaker2,speaker2_ns3_item7,ns3_item7,4,2,B,B,1
4,4/19/26 14:51,4/19/26 14:58,0,2.110.88.253,100,387,1,4/19/26 14:58,R_21AZHkypDwKARzQ,,,,,55.6769,12.5268,anonymous,EN,1,1,1,1,1,24,speaker2,speaker2_ns2_item5,ns2_item5,5,1,A,A,1
4,4/19/26 14:51,4/19/26 14:58,0,2.110.88.253,100,387,1,4/19/26 14:58,R_21AZHkypDwKARzQ,,,,,55.6769,12.5268,anonymous,EN,1,1,1,1,1,24,speaker2,speaker2_ns2_item2,ns2_item2,6,1,A,A,1
4,4/19/26 14:51,4/19/26 14:58,0,2.110.88.253,100,387,1,4/19/26 14:58,R_21AZHkypDwKARzQ,,,,,55.6769,12.5268,anonymous,EN,1,1,1,1,1,24,speaker2,speaker2_ns3_item1,ns3_item1,7,3,C,C,1
4,4/19/26 14:51,4/19/26 14:58,0,2.110.88.253,100,387,1,4/19/26 14:58,R_21AZHkypDwKARzQ,,,,,55.6769,12.5268,anonymous,EN,1,1,1,1,1,24,speaker2,speaker2_ns2_item3,ns2_item3,8,2,B,B,1
4,4/19/26 14:51,4/19/26 14:58,0,2.110.88.253,100,387,1,4/19/26 14:58,R_21AZHkypDwKARzQ,,,,,55.6769,12.5268,anonymous,EN,1,1,1,1,1,24,speaker2,speaker2_ns2_item6,ns2_item6,9,2,B,B,1
