layer,loo_acc,loo_lo,loo_hi,n_train,test_speaker1_ns1-ns2-ns3,test_speaker2_ns1-ns2-ns3
0,0.6406,0.5545,0.7185,128,0.4583,0.5
1,0.7812,0.702,0.8441,128,0.625,0.5417
2,0.7812,0.702,0.8441,128,0.625,0.5
3,0.8359,0.7622,0.8901,128,0.6667,0.5417
4,0.8281,0.7535,0.8837,128,0.5,0.5
5,0.8672,0.7976,0.9154,128,0.5833,0.5
6,0.8281,0.7535,0.8837,128,0.625,0.5
7,0.8125,0.7361,0.8706,128,0.4583,0.5417
8,0.8672,0.7976,0.9154,128,0.5,0.5
9,0.8438,0.771,0.8965,128,0.5,0.5417
10,0.8203,0.7448,0.8772,128,0.5,0.5
11,0.8516,0.7798,0.9029,128,0.5,0.5
12,0.8203,0.7448,0.8772,128,0.5,0.375
13,0.8203,0.7448,0.8772,128,0.5,0.4583
14,0.875,0.8066,0.9216,128,0.6667,0.5
15,0.8984,0.834,0.9397,128,0.5417,0.6667
16,0.9062,0.8433,0.9456,128,0.5,0.4583
17,0.9062,0.8433,0.9456,128,0.5,0.5
18,0.8906,0.8248,0.9337,128,0.5,0.5
19,0.8828,0.8156,0.9277,128,0.5,0.5
20,0.9375,0.8815,0.968,128,0.5417,0.5
21,0.9062,0.8433,0.9456,128,0.5,0.5
22,0.8906,0.8248,0.9337,128,0.5,0.5
23,0.8516,0.7798,0.9029,128,0.5833,0.5833
24,0.9219,0.8622,0.957,128,0.625,0.6667
25,0.8906,0.8248,0.9337,128,0.7917,0.5833
26,0.8906,0.8248,0.9337,128,0.8333,0.6667
27,0.8594,0.7886,0.9092,128,0.625,0.625
28,0.8906,0.8248,0.9337,128,0.5,0.5417
29,0.8594,0.7886,0.9092,128,0.5,0.5
30,0.8125,0.7361,0.8706,128,0.5,0.5
31,0.7812,0.702,0.8441,128,0.4583,0.5
32,0.7656,0.6852,0.8306,128,0.4583,0.5833
