layer,loo_acc,loo_lo,loo_hi,n_train,test_speaker1_ns1-ns2-ns3,test_speaker2_ns1-ns2-ns3
0,0.4844,0.3995,0.5701,128,0.375,0.25
1,0.4922,0.4071,0.5778,128,0.5,0.5417
2,0.4844,0.3995,0.5701,128,0.2083,0.25
3,0.4609,0.377,0.5472,128,0.375,0.5833
4,0.4609,0.377,0.5472,128,0.2917,0.5833
5,0.4453,0.3621,0.5318,128,0.375,0.3333
6,0.4453,0.3621,0.5318,128,0.2917,0.4167
7,0.4141,0.3325,0.5007,128,0.25,0.25
8,0.4062,0.3251,0.4929,128,0.25,0.3333
9,0.4609,0.377,0.5472,128,0.25,0.5
10,0.4219,0.3398,0.5085,128,0.4167,0.5833
11,0.4141,0.3325,0.5007,128,0.375,0.5
12,0.4453,0.3621,0.5318,128,0.4583,0.5
13,0.4062,0.3251,0.4929,128,0.4583,0.5
14,0.4688,0.3845,0.5548,128,0.3333,0.3333
15,0.5,0.4147,0.5853,128,0.125,0.3333
16,0.4688,0.3845,0.5548,128,0.5417,0.5
17,0.5234,0.4375,0.608,128,0.375,0.5
18,0.3984,0.3178,0.485,128,0.4583,0.5
19,0.4688,0.3845,0.5548,128,0.5,0.5
20,0.4844,0.3995,0.5701,128,0.4583,0.5
21,0.4141,0.3325,0.5007,128,0.5,0.5
22,0.5,0.4147,0.5853,128,0.4167,0.625
23,0.4375,0.3546,0.524,128,0.2917,0.2917
24,0.4688,0.3845,0.5548,128,0.5,0.4583
25,0.4297,0.3472,0.5163,128,0.4583,0.3333
26,0.4766,0.392,0.5625,128,0.2917,0.4583
27,0.5,0.4147,0.5853,128,0.25,0.2917
28,0.5,0.4147,0.5853,128,0.3333,0.4167
29,0.4609,0.377,0.5472,128,0.4583,0.5
30,0.4297,0.3472,0.5163,128,0.4583,0.375
31,0.5234,0.4375,0.608,128,0.4583,0.3333
32,0.5156,0.4299,0.6005,128,0.25,0.375
