layer,loo_acc,loo_lo,loo_hi,n_train,test_speaker1_ns1-ns2-ns3,test_speaker2_ns1-ns2-ns3
0,0.6641,0.5785,0.74,128,0.4583,0.4583
1,0.75,0.6684,0.817,128,0.5,0.5
2,0.7969,0.719,0.8574,128,0.5417,0.5
3,0.7969,0.719,0.8574,128,0.5,0.5
4,0.8125,0.7361,0.8706,128,0.5,0.5417
5,0.8438,0.771,0.8965,128,0.5833,0.5417
6,0.8438,0.771,0.8965,128,0.375,0.5
7,0.875,0.8066,0.9216,128,0.5,0.5
8,0.8906,0.8248,0.9337,128,0.4583,0.4167
9,0.8203,0.7448,0.8772,128,0.4583,0.5
10,0.8047,0.7276,0.8641,128,0.5417,0.4167
11,0.8359,0.7622,0.8901,128,0.5,0.625
12,0.8438,0.771,0.8965,128,0.4583,0.5
13,0.8203,0.7448,0.8772,128,0.5,0.5417
14,0.8281,0.7535,0.8837,128,0.5,0.5
15,0.8125,0.7361,0.8706,128,0.5,0.5
16,0.8281,0.7535,0.8837,128,0.5,0.6667
17,0.9062,0.8433,0.9456,128,0.5417,0.5417
18,0.9219,0.8622,0.957,128,0.5,0.625
19,0.9141,0.8527,0.9513,128,0.5,0.5417
20,0.9375,0.8815,0.968,128,0.5,0.5833
21,0.9062,0.8433,0.9456,128,0.5833,0.5
22,0.8906,0.8248,0.9337,128,0.5417,0.625
23,0.9766,0.9334,0.992,128,0.625,0.7083
24,0.9688,0.9224,0.9878,128,0.5417,0.625
25,0.9531,0.9015,0.9783,128,0.5417,0.5417
26,0.9688,0.9224,0.9878,128,0.5833,0.5833
27,0.9453,0.8914,0.9733,128,0.75,0.625
28,0.9375,0.8815,0.968,128,0.8333,0.6667
29,0.9219,0.8622,0.957,128,0.8333,0.6667
30,0.9141,0.8527,0.9513,128,0.6667,0.6667
31,0.9297,0.8718,0.9626,128,0.625,0.7083
32,0.9141,0.8527,0.9513,128,0.625,0.5833
