layer_probe.py -- 2026-05-21 22:10:59 UTC
train CSV : data/output/qwen2_5_omni_fp16/internals/qwen_encoder_layers_speaker0_f1-f2-f3-f4-f5-f6-f7-f8-f9-f10-f11-f12-f13_20260521_220323.csv
pipeline  : PCA(50) -> LogisticRegression

 Lyr   LOO-acc             95%-CI     N  speaker1_ns1-ns2-ns3_2026052  speaker2_ns1-ns2-ns3_2026052
-------------------------------------------------------------------------------------------------------
   0     66.4%  [57.9%, 74.0%]   128  45.8% [27.9%,64.9%]  45.8% [27.9%,64.9%]
   1     75.0%  [66.8%, 81.7%]   128  50.0% [31.4%,68.6%]  50.0% [31.4%,68.6%]
   2     79.7%  [71.9%, 85.7%]   128  54.2% [35.1%,72.1%]  50.0% [31.4%,68.6%]
   3     79.7%  [71.9%, 85.7%]   128  50.0% [31.4%,68.6%]  50.0% [31.4%,68.6%]
   4     81.2%  [73.6%, 87.1%]   128  50.0% [31.4%,68.6%]  54.2% [35.1%,72.1%]
   5     84.4%  [77.1%, 89.7%]   128  58.3% [38.8%,75.5%]  54.2% [35.1%,72.1%]
   6     84.4%  [77.1%, 89.7%]   128  37.5% [21.2%,57.3%]  50.0% [31.4%,68.6%]
   7     87.5%  [80.7%, 92.2%]   128  50.0% [31.4%,68.6%]  50.0% [31.4%,68.6%]
   8     89.1%  [82.5%, 93.4%]   128  45.8% [27.9%,64.9%]  41.7% [24.5%,61.2%]
   9     82.0%  [74.5%, 87.7%]   128  45.8% [27.9%,64.9%]  50.0% [31.4%,68.6%]
  10     80.5%  [72.8%, 86.4%]   128  54.2% [35.1%,72.1%]  41.7% [24.5%,61.2%]
  11     83.6%  [76.2%, 89.0%]   128  50.0% [31.4%,68.6%]  62.5% [42.7%,78.8%]
  12     84.4%  [77.1%, 89.7%]   128  45.8% [27.9%,64.9%]  50.0% [31.4%,68.6%]
  13     82.0%  [74.5%, 87.7%]   128  50.0% [31.4%,68.6%]  54.2% [35.1%,72.1%]
  14     82.8%  [75.3%, 88.4%]   128  50.0% [31.4%,68.6%]  50.0% [31.4%,68.6%]
  15     81.2%  [73.6%, 87.1%]   128  50.0% [31.4%,68.6%]  50.0% [31.4%,68.6%]
  16     82.8%  [75.3%, 88.4%]   128  50.0% [31.4%,68.6%]  66.7% [46.7%,82.0%]
  17     90.6%  [84.3%, 94.6%]   128  54.2% [35.1%,72.1%]  54.2% [35.1%,72.1%]
  18     92.2%  [86.2%, 95.7%]   128  50.0% [31.4%,68.6%]  62.5% [42.7%,78.8%]
  19     91.4%  [85.3%, 95.1%]   128  50.0% [31.4%,68.6%]  54.2% [35.1%,72.1%]
  20     93.8%  [88.2%, 96.8%]   128  50.0% [31.4%,68.6%]  58.3% [38.8%,75.5%]
  21     90.6%  [84.3%, 94.6%]   128  58.3% [38.8%,75.5%]  50.0% [31.4%,68.6%]
  22     89.1%  [82.5%, 93.4%]   128  54.2% [35.1%,72.1%]  62.5% [42.7%,78.8%]
  23     97.7%  [93.3%, 99.2%]   128  62.5% [42.7%,78.8%]  70.8% [50.8%,85.1%]
  24     96.9%  [92.2%, 98.8%]   128  54.2% [35.1%,72.1%]  62.5% [42.7%,78.8%]
  25     95.3%  [90.2%, 97.8%]   128  54.2% [35.1%,72.1%]  54.2% [35.1%,72.1%]
  26     96.9%  [92.2%, 98.8%]   128  58.3% [38.8%,75.5%]  58.3% [38.8%,75.5%]
  27     94.5%  [89.1%, 97.3%]   128  75.0% [55.1%,88.0%]  62.5% [42.7%,78.8%]
  28     93.8%  [88.2%, 96.8%]   128  83.3% [64.1%,93.3%]  66.7% [46.7%,82.0%]
  29     92.2%  [86.2%, 95.7%]   128  83.3% [64.1%,93.3%]  66.7% [46.7%,82.0%]
  30     91.4%  [85.3%, 95.1%]   128  66.7% [46.7%,82.0%]  66.7% [46.7%,82.0%]
  31     93.0%  [87.2%, 96.3%]   128  62.5% [42.7%,78.8%]  70.8% [50.8%,85.1%]
  32     91.4%  [85.3%, 95.1%]   128  62.5% [42.7%,78.8%]  58.3% [38.8%,75.5%]
