layer,loo_acc,loo_lo,loo_hi,n_train,test_speaker1_ns1-ns2-ns3,test_speaker2_ns1-ns2-ns3
0,0.6797,0.5946,0.7543,128,0.5417,0.5
1,0.7578,0.6768,0.8238,128,0.5,0.5417
2,0.8125,0.7361,0.8706,128,0.6667,0.5
3,0.8125,0.7361,0.8706,128,0.875,0.5417
4,0.8594,0.7886,0.9092,128,0.5417,0.5
5,0.8438,0.771,0.8965,128,0.4583,0.5
6,0.8516,0.7798,0.9029,128,0.625,0.5
7,0.8672,0.7976,0.9154,128,0.5833,0.625
8,0.8594,0.7886,0.9092,128,0.5417,0.625
9,0.8516,0.7798,0.9029,128,0.5,0.4583
10,0.8516,0.7798,0.9029,128,0.4583,0.5
11,0.8438,0.771,0.8965,128,0.5,0.5833
12,0.8516,0.7798,0.9029,128,0.5417,0.375
13,0.8516,0.7798,0.9029,128,0.5833,0.5
14,0.8828,0.8156,0.9277,128,0.5,0.5
15,0.8828,0.8156,0.9277,128,0.5,0.5417
16,0.8672,0.7976,0.9154,128,0.625,0.5
17,0.8828,0.8156,0.9277,128,0.5,0.5
18,0.9141,0.8527,0.9513,128,0.5,0.5
19,0.9141,0.8527,0.9513,128,0.5,0.5
20,0.9141,0.8527,0.9513,128,0.5417,0.5
21,0.9297,0.8718,0.9626,128,0.5,0.5417
22,0.8828,0.8156,0.9277,128,0.5,0.5
23,0.8281,0.7535,0.8837,128,0.5417,0.625
24,0.8906,0.8248,0.9337,128,0.6667,0.6667
25,0.9062,0.8433,0.9456,128,0.6667,0.5833
26,0.8594,0.7886,0.9092,128,0.7917,0.5833
27,0.8516,0.7798,0.9029,128,0.5833,0.5417
28,0.8594,0.7886,0.9092,128,0.5,0.5833
29,0.8359,0.7622,0.8901,128,0.5,0.5833
30,0.8125,0.7361,0.8706,128,0.5,0.625
31,0.7891,0.7105,0.8508,128,0.5,0.5
32,0.8047,0.7276,0.8641,128,0.5,0.5833
