layer,loo_acc,loo_lo,loo_hi,n_train,test_speaker1_ns1-ns2-ns3,test_speaker2_ns1-ns2-ns3
0,0.5,0.4147,0.5853,128,0.5,0.25
1,0.4844,0.3995,0.5701,128,0.5,0.5417
2,0.4531,0.3695,0.5395,128,0.2083,0.25
3,0.4375,0.3546,0.524,128,0.5,0.5
4,0.4531,0.3695,0.5395,128,0.3333,0.5
5,0.4609,0.377,0.5472,128,0.2917,0.25
6,0.4297,0.3472,0.5163,128,0.2917,0.25
7,0.4219,0.3398,0.5085,128,0.2917,0.375
8,0.4531,0.3695,0.5395,128,0.4167,0.375
9,0.4766,0.392,0.5625,128,0.4583,0.5417
10,0.4219,0.3398,0.5085,128,0.25,0.375
11,0.4219,0.3398,0.5085,128,0.5,0.5
12,0.3984,0.3178,0.485,128,0.5,0.5
13,0.4453,0.3621,0.5318,128,0.2083,0.375
14,0.4141,0.3325,0.5007,128,0.5,0.25
15,0.3984,0.3178,0.485,128,0.5,0.2083
16,0.4297,0.3472,0.5163,128,0.5417,0.5833
17,0.4141,0.3325,0.5007,128,0.25,0.4583
18,0.3984,0.3178,0.485,128,0.4583,0.5
19,0.4609,0.377,0.5472,128,0.4583,0.5
20,0.4609,0.377,0.5472,128,0.4583,0.5417
21,0.5078,0.4222,0.5929,128,0.5,0.5
22,0.4688,0.3845,0.5548,128,0.375,0.6667
23,0.5156,0.4299,0.6005,128,0.375,0.375
24,0.4922,0.4071,0.5778,128,0.5417,0.5
25,0.4609,0.377,0.5472,128,0.5,0.4583
26,0.4375,0.3546,0.524,128,0.2917,0.4167
27,0.5078,0.4222,0.5929,128,0.2917,0.4583
28,0.4922,0.4071,0.5778,128,0.4167,0.4167
29,0.5,0.4147,0.5853,128,0.5,0.4167
30,0.4219,0.3398,0.5085,128,0.5833,0.375
31,0.5234,0.4375,0.608,128,0.3333,0.25
32,0.4922,0.4071,0.5778,128,0.4583,0.4583
