layer,loo_acc,loo_lo,loo_hi,n_train,test_speaker1_ns1-ns2-ns3,test_speaker2_ns1-ns2-ns3
0,0.6875,0.6027,0.7613,128,0.5,0.5
1,0.6641,0.5785,0.74,128,0.5417,0.5
2,0.7031,0.619,0.7754,128,0.5417,0.4167
3,0.6641,0.5785,0.74,128,0.5833,0.3333
4,0.6797,0.5946,0.7543,128,0.4583,0.5
5,0.6719,0.5866,0.7472,128,0.5417,0.4167
6,0.75,0.6684,0.817,128,0.5,0.5
7,0.7812,0.702,0.8441,128,0.5,0.5
8,0.7656,0.6852,0.8306,128,0.5,0.5
9,0.8125,0.7361,0.8706,128,0.5,0.5
10,0.7891,0.7105,0.8508,128,0.5,0.5
11,0.7812,0.702,0.8441,128,0.5,0.5
12,0.7266,0.6436,0.7963,128,0.625,0.5
13,0.7578,0.6768,0.8238,128,0.5417,0.625
14,0.75,0.6684,0.817,128,0.5417,0.5
15,0.7266,0.6436,0.7963,128,0.5,0.5
16,0.7812,0.702,0.8441,128,0.75,0.5417
17,0.8203,0.7448,0.8772,128,0.5417,0.5
18,0.8594,0.7886,0.9092,128,0.5417,0.5
19,0.8828,0.8156,0.9277,128,0.5,0.5
20,0.9297,0.8718,0.9626,128,0.5417,0.5833
21,0.9688,0.9224,0.9878,128,0.4167,0.6667
22,0.9453,0.8914,0.9733,128,0.6667,0.5833
23,0.9531,0.9015,0.9783,128,0.75,0.5833
24,0.9531,0.9015,0.9783,128,0.6667,0.7083
25,0.9766,0.9334,0.992,128,0.8333,0.5833
26,0.9531,0.9015,0.9783,128,0.5417,0.5833
27,0.9766,0.9334,0.992,128,0.6667,0.625
28,0.9766,0.9334,0.992,128,0.75,0.5417
29,0.9844,0.9448,0.9957,128,0.5417,0.7083
30,0.9922,0.9571,0.9986,128,0.5417,0.6667
31,0.9922,0.9571,0.9986,128,0.5417,0.8333
32,0.9844,0.9448,0.9957,128,0.5833,0.7083
