layer,loo_acc,loo_lo,loo_hi,n_train,test_speaker1_ns1-ns2-ns3,test_speaker2_ns1-ns2-ns3
0,0.4375,0.3546,0.524,128,0.2083,0.25
1,0.4922,0.4071,0.5778,128,0.3333,0.25
2,0.4375,0.3546,0.524,128,0.1667,0.25
3,0.4609,0.377,0.5472,128,0.25,0.25
4,0.4844,0.3995,0.5701,128,0.25,0.4167
5,0.4922,0.4071,0.5778,128,0.5,0.4167
6,0.4609,0.377,0.5472,128,0.4583,0.5
7,0.5156,0.4299,0.6005,128,0.4583,0.25
8,0.4922,0.4071,0.5778,128,0.3333,0.4167
9,0.5391,0.4528,0.623,128,0.25,0.2917
10,0.4922,0.4071,0.5778,128,0.2917,0.375
11,0.5312,0.4452,0.6155,128,0.375,0.4583
12,0.5391,0.4528,0.623,128,0.3333,0.4583
13,0.5469,0.4605,0.6305,128,0.375,0.5
14,0.5078,0.4222,0.5929,128,0.5,0.5
15,0.5703,0.4837,0.6528,128,0.5,0.5
16,0.5234,0.4375,0.608,128,0.5833,0.4167
17,0.5156,0.4299,0.6005,128,0.5833,0.375
18,0.5234,0.4375,0.608,128,0.25,0.25
19,0.5078,0.4222,0.5929,128,0.2917,0.25
20,0.5547,0.4682,0.6379,128,0.5,0.5833
21,0.5156,0.4299,0.6005,128,0.5,0.375
22,0.5,0.4147,0.5853,128,0.4167,0.3333
23,0.5156,0.4299,0.6005,128,0.5,0.4583
24,0.4922,0.4071,0.5778,128,0.5417,0.5417
25,0.5391,0.4528,0.623,128,0.4167,0.5833
26,0.5234,0.4375,0.608,128,0.4583,0.6667
27,0.5547,0.4682,0.6379,128,0.4583,0.5417
28,0.5234,0.4375,0.608,128,0.5,0.5833
29,0.4766,0.392,0.5625,128,0.5,0.6667
30,0.5234,0.4375,0.608,128,0.5,0.5417
31,0.4844,0.3995,0.5701,128,0.5417,0.5417
32,0.5234,0.4375,0.608,128,0.5833,0.5833
